來賓,出場次數,單位（合併）
黃炳照,4,國家講座兼臺科大SEED中心主任
林清和,4,輔英科大環境與生命學院院長
黃世宏,3,高雄市政府環保局副局長 | 高雄市環保局副局長
陳凱琳,3,先進華斯科技股份有限公司總經理 | 先進華斯複材科技股份有限公司總經理 | 先進複材股份有限公司總經理
楊慶煜,2,國立高雄科技大學校長
羅光閔,2,國立高雄科技大學教授兼副學務長 | 國立高雄科技大學造船及海洋工程系副教授
張饌鰆,2,財團法人高雄市覆鼎金保安宮副總幹事兼文教主任
蔡匡忠,2,國立高雄科技大學副校長 | 東方科技大學校長
蔡美玲,2,國立高雄科技大學水產食品科學系系主任 | 高科大海洋科技發展處處長
魏德新,2,國家同步輻射研究中心副主任
張家欽,2,國立臺南大學綠能系特聘教授
林育靚,2,高科大創新設計學院副教授
林孝鍇,2,衛武營節目部專員
蔡紹豪,2,高雄市建築經營協會副理事長
黃健瑋,2,台灣智慧建築協會副理事長
丁國桓,2,高科大海洋事務與產業管理所副教授 | 高科大海管碩士班副教授
蔡麗端,2,工研院材化所綠能材料組組長
朱英彰,2,嶺客運動工作室創辦人
柯文清,2,臺灣農機電動化產策聯盟秘書長
林崇田,2,財團法人金屬工業研究發展中心精微成形研發處處長 | 金屬工業研究發展中心精微成形研發處處長
張耿榕,2,榮福股份有限公司總經理 | 高雄市環境工程技師公會理事長
林玫君,2,國立臺南大學藝術學院院長
林子詠,1,國立高雄科技大學水產養殖系副教授兼副教務長
洪明昌,1,國立高雄科技大學水產養殖系副教授
陳泰昌,1,金屬工業研究發展中心副組長
陳冠維,1,態金材料科技股份公司董事長
林漢祥,1,精華生醫股份有限公司總廠長
張博仁,1,漁創客青創基地負責人
李育儒,1,大仁科技大學寵物照護暨美容系系主任兼研發長
歐陽振森,1,國立高雄科技大學資訊管理系教授
林根煌,1,國立中山大學南區促進產業發展研究中心主任
邱萬敦,1,國立高雄科技大學漁業科技與管理系教授
黃志雄,1,國立高雄科技大學漁業科技與管理系助理教授
簡志斌,1,皇珵醬油有限公司負責人
郭俊德,1,奧斯華德色技有限公司總經理
潘泰安,1,高雄市遊艇服務商業同業公會理事長
郭信宏,1,財團法人金屬工業研究發展中心金屬製程研發處副處長
陳柏登,1,大鎪科技股份有限公司特助
來俊吉,1,喬福材料科技股份有限公司總經理
林龍吟,1,國立高雄科技大學工業設計系系主任
